start_time,total_flight_time,total_flight_distance,is_collided,safety_ratio_agent,average_planning_time,min_planning_time,max_planning_time,initial_traj_planning_time,safety_ratio_obs,goal_planning_time,lsc_generation_time,sfc_generation_time,traj_optimization_time,mission_file_name,world_file_name,planner_mode,prediction_mode,initial_traj_mode,slack_mode,goal_mode,world_dimension,dt,horizon,N_constraint_segments
1690584545.179253608,1e+09,196.139,0,1.00106,0.0271727,0.015787,0.0765719,1.5721e-06,1e+09,0.0022854,0.00016277,0.000562122,0.0241023,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_0.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690584793.437836683,1e+09,205.293,0,1.00567,0.0304454,0.0157088,0.108309,1.59032e-06,1e+09,0.00251147,0.00016379,0.000593534,0.0271161,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_1.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690585071.033245654,1e+09,232.469,0,1.00223,0.0270267,0.0142294,0.0805718,1.57302e-06,1e+09,0.00252149,0.000161809,0.00049595,0.0237871,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_10.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690585317.922598252,1e+09,229.267,0,1.00083,0.0287968,0.0140294,0.083281,1.86961e-06,1e+09,0.00305726,0.000168599,0.000706064,0.0247692,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_11.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690585580.937821897,1e+09,282.342,0,1.00911,0.0330972,0.0161833,0.0916425,2.05868e-06,1e+09,0.00373645,0.000194235,0.000622793,0.0284403,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_12.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690585882.634544620,26.2,228.255,0,1.00813,0.030407,0.0153669,0.102951,1.93082e-06,1e+09,0.00368494,0.000164674,0.000545471,0.0259466,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_13.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690586005.540762391,25.2,225.288,0,1.0011,0.029362,0.0137628,0.0882446,1.85804e-06,1e+09,0.00395477,0.00016311,0.000518788,0.0246612,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_14.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690586119.854814287,1e+09,226.788,0,1.0004,0.0311397,0.0151884,0.102918,2.09464e-06,1e+09,0.00335089,0.000170708,0.000719617,0.0268008,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_15.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690586404.070481896,23.8,219.203,0,1.00653,0.0296928,0.0149658,0.0849968,1.87672e-06,1e+09,0.00415698,0.00016419,0.000517363,0.0247891,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_16.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690586513.301511544,1e+09,199.948,0,1.00878,0.0298023,0.0149584,0.095066,1.88768e-06,1e+09,0.00259555,0.000162775,0.000531557,0.0264485,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_17.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690586785.181746787,1e+09,182.567,0,1.01332,0.0285996,0.0157476,0.113555,1.92455e-06,1e+09,0.00285097,0.000165048,0.000555861,0.0249642,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_18.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690587372.479759475,1e+09,168.605,0,1.00126,0.0285642,0.0141233,0.0865859,1.80964e-06,1e+09,0.00226975,0.000163782,0.000584065,0.0254839,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_21.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
1690587633.233600891,1e+09,224.008,0,1.00057,0.0264241,0.0134708,0.0902826,1.83528e-06,1e+09,0.00273919,0.000163895,0.000475033,0.0229833,/home/vivek/catkin_ws/src/lsc_planner/missions/bookstore/bookstore_drone_30_22.json,/home/vivek/catkin_ws/src/lsc_planner/world/bookstore.bt,LSC,previous_solution,previous_solution,none,static,3,0.2,3,-1
